CODE ARTICLE LOC;FAMILLE;SOUS-FAMILLE;LIBELLE ABREGE ;         LIBELLE         ;         LIBELLE         ;         LIBELLE         ;TYPE LOCATION PROF TARIF 1;TYPE LOCATION PROF TARIF 2;TYPE LOCATION PROF TARIF 3;TYPE LOCATION PROF TARIF 4;TYPE LOCATION PROF TARIF 5;TYPE LOCATION PROF TARIF 6;TYPE LOCATION PROF TARIF 7;TYPE LOCATION PROF TARIF 8;TYPE LOCATION PROF TARIF 9;TYPE LOCATION PROF TARIF 10;TYPE LOCATION PROF TARIF 11;TYPE LOCATION PROF TARIF 12;TYPE LOCATION PROF TARIF 13;TYPE LOCATION PROF TARIF 14;TYPE LOCATION ASSURES;CODE LPP 1ERE TRANCHE;CODE LPP 2EME TRANCHE DEGRESSIVE;CODE LPP 3EME TRANCHE DEGRESSIVE;CODE LPP 4EME TRANCHE DEGRESSIVE;CODE LPP 5EME TRANCHE DEGRESSIVE;PRIX LPP 1ERE TRANCHE;PRIX LPP 2EME TRANCHE DEGRESSIVE;PRIX LPP 3EME TRANCHE DEGRESSIVE;PRIX LPP 4EME TRANCHE DEGRESSIVE;PRIX LPP 5EME TRANCHE DEGRESSIVE;PRIX HT1 TRANCHE1;PRIX HT1 TRANCHE2;PRIX HT1 TRANCHE3;PRIX HT1 TRANCHE4;PRIX HT1 TRANCHE5;PRIX HT2 TRANCHE1;PRIX HT2 TRANCHE2;PRIX HT2 TRANCHE3;PRIX HT2 TRANCHE4;PRIX HT2 TRANCHE5;PRIX HT3 TRANCHE1;PRIX HT3 TRANCHE2;PRIX HT3 TRANCHE3;PRIX HT3 TRANCHE4;PRIX HT3 TRANCHE5;PRIX HT4 TRANCHE1;PRIX HT4 TRANCHE2;PRIX HT4 TRANCHE3;PRIX HT4 TRANCHE4;PRIX HT4 TRANCHE5;PRIX HT5 TRANCHE1;PRIX HT5 TRANCHE2;PRIX HT5 TRANCHE3;PRIX HT5 TRANCHE4;PRIX HT5 TRANCHE5;PRIX HT6 TRANCHE1;PRIX HT6 TRANCHE2;PRIX HT6 TRANCHE3;PRIX HT6 TRANCHE4;PRIX HT6 TRANCHE5;PRIX HT7 TRANCHE1;PRIX HT7 TRANCHE2;PRIX HT7 TRANCHE3;PRIX HT7 TRANCHE4;PRIX HT7 TRANCHE5;PRIX HT8 TRANCHE1;PRIX HT8 TRANCHE2;PRIX HT8 TRANCHE3;PRIX HT8 TRANCHE4;PRIX HT8 TRANCHE5;PRIX HT9 TRANCHE1;PRIX HT9 TRANCHE2;PRIX HT9 TRANCHE3;PRIX HT9 TRANCHE4;PRIX HT9 TRANCHE5;PRIX HT10 TRANCHE1;PRIX HT10 TRANCHE2;PRIX HT10 TRANCHE3;PRIX HT10 TRANCHE4;PRIX HT10 TRANCHE5;PRIX HT11 TRANCHE1;PRIX HT11 TRANCHE2;PRIX HT11 TRANCHE3;PRIX HT11 TRANCHE4;PRIX HT11 TRANCHE5;PRIX HT12 TRANCHE1;PRIX HT12 TRANCHE2;PRIX HT12 TRANCHE3;PRIX HT12 TRANCHE4;PRIX HT12 TRANCHE5;PRIX HT13 TRANCHE1;PRIX HT13 TRANCHE2;PRIX HT13 TRANCHE3;PRIX HT13 TRANCHE4;PRIX HT13 TRANCHE5;PRIX HT14 TRANCHE1;PRIX HT14 TRANCHE2;PRIX HT14 TRANCHE3;PRIX HT14 TRANCHE4;PRIX HT14 TRANCHE5;PRIX TTC ASSURES TRANCHE1;PRIX TTC ASSURES TRANCHE2;PRIX TTC ASSURES TRANCHE3;PRIX TTC ASSURES TRANCHE4;PRIX TTC ASSURES TRANCHE5;REMISE TARIF1;REMISE TARIF2;REMISE TARIF3;REMISE TARIF4;REMISE TARIF5;REMISE TARIF6;REMISE TARIF7;REMISE TARIF8;REMISE TARIF9;REMISE TARIF10;REMISE TARIF11;REMISE TARIF12;REMISE TARIF13;REMISE TARIF14;RISTOURNE TARIF1;RISTOURNE TARIF2;RISTOURNE TARIF3;RISTOURNE TARIF4;RISTOURNE TARIF5;RISTOURNE TARIF6;RISTOURNE TARIF7;RISTOURNE TARIF8;RISTOURNE TARIF9;RISTOURNE TARIF10;RISTOURNE TARIF11;RISTOURNE TARIF12;RISTOURNE TARIF13;RISTOURNE TARIF14;MODE TARIFS PROF (R=REMISES, P=PRIX NETS);C.A. P.V. N-2;C.A. P.V. N-1;C.A. P.V. N;C.A. P.V. M-1;C.A. P.V. M;  COMPOSANT1   ;  COMPOSANT2   ;  COMPOSANT3   ;  COMPOSANT4   ;  COMPOSANT5   ;DERNIERE VENTE;DATE DE CREATION;SOUMIS A ENTENTE O/N;TYPE D'ARTICLE SUITE 1 (L=Loc, V=Vte);ARTICLE SUITE 1;TYPE D'ARTICLE SUITE 2 (L=Loc, V=Vte);ARTICLE SUITE 2;DEPOT DE GARANTIE
F25             ;LO1    ;LOR         ;SOMMEIL - OXYGE;SOMMEIL - OXYGENE        ;                         ;                         ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                           ;                           ;                           ;                           ;                           ;S1                   ;1130897              ;                                ;                                ;                                ;                                ;      58,06          ;       0,00                     ;       0,00                     ;       0,00                     ;       0,00                     ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;      58,06              ;       0,00              ;       0,00              ;       0,00              ;       0,00              ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;P                                        ;       0,00  ;       0,00  ;       0,00;       0,00  ;       0,00;               ;               ;               ;               ;               ;30/04/10      ;30/04/10        ;O                   ;L                                    ;               ;V                                    ;               ;     0,00        
F26             ;LO3    ;LA3         ;SOMMEIL +O2 LIQ;SOMMEIL +O2 LIQUIDE      ;                         ;                         ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                           ;                           ;                           ;                           ;                           ;S1                   ;1189991              ;                                ;                                ;                                ;                                ;     113,61          ;       0,00                     ;       0,00                     ;       0,00                     ;       0,00                     ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;     113,61              ;       0,00              ;       0,00              ;       0,00              ;       0,00              ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;P                                        ;       0,00  ;       0,00  ;       0,00;       0,00  ;       0,00;               ;               ;               ;               ;               ;30/04/10      ;30/04/10        ;O                   ;L                                    ;               ;V                                    ;               ;     0,00        
F3              ;LO3    ;LOX         ;OXYGENE COURT T;OXYGENE COURT TERME      ;                         ;                         ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                           ;                           ;                           ;                           ;                           ;S1                   ;1128104              ;                                ;                                ;                                ;                                ;      45,00          ;       0,00                     ;       0,00                     ;       0,00                     ;       0,00                     ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;      45,00              ;       0,00              ;       0,00              ;       0,00              ;       0,00              ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;P                                        ;       0,00  ;       0,00  ;       0,00;       0,00  ;       0,00;               ;               ;               ;               ;               ;30/04/10      ;30/04/10        ;N                   ;L                                    ;               ;V                                    ;               ;     0,00        
F6              ;LO1    ;LA1         ;VENTILATION    ;VENTILATION ASSISTEE <12H;                         ;                         ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                           ;                           ;                           ;                           ;                           ;S4                   ;1196270              ;                                ;                                ;                                ;                                ;      62,16          ;       0,00                     ;       0,00                     ;       0,00                     ;       0,00                     ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;      62,16              ;       0,00              ;       0,00              ;       0,00              ;       0,00              ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;P                                        ;       0,00  ;       0,00  ;       0,00;       0,00  ;       0,00;               ;               ;               ;               ;               ;30/04/10      ;30/04/10        ;O                   ;L                                    ;               ;V                                    ;               ;     0,00        
F7              ;LO1    ;LOR         ;VENTIL EMB BUCC;VENTILATION PAR EMBOUT   ;BUCCAL                   ;                         ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                           ;                           ;                           ;                           ;                           ;S1                   ;1176480              ;                                ;                                ;                                ;                                ;      25,00          ;       0,00                     ;       0,00                     ;       0,00                     ;       0,00                     ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;      25,00              ;       0,00              ;       0,00              ;       0,00              ;       0,00              ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;P                                        ;       0,00  ;       0,00  ;       0,00;       0,00  ;       0,00;               ;               ;               ;               ;               ;30/04/10      ;30/04/10        ;N                   ;L                                    ;               ;V                                    ;               ;     0,00        
F9              ;LC1    ;LOS         ;SOMMEIL        ;PRESSION POSITIVE POUR   ;TRAITEMENT APNEE SOMMEIL ;                         ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                           ;                           ;                           ;                           ;                           ;S421                 ;1188684              ;                                ;                                ;                                ;                                ;      17,77          ;       0,00                     ;       0,00                     ;       0,00                     ;       0,00                     ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;      17,77              ;       0,00              ;       0,00              ;       0,00              ;       0,00              ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;P                                        ;     915,00  ;    1890,00  ;       0,00;       0,00  ;       0,00;               ;               ;               ;               ;               ;06/06/17      ;30/04/10        ;O                   ;V                                    ;               ;V                                    ;               ;     0,00        
FAUT1ACC        ;LD1    ;LDR         ;FAUTEUIL UN ACC;FAUTEUIL UN ACCESSOIRE   ;LOCATION HEBDOMADAIRE    ;                         ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                           ;                           ;                           ;                           ;                           ;S452                 ;1298680              ;1255682                         ;                                ;                                ;                                ;      16,45          ;      10,12                     ;       0,00                     ;       0,00                     ;       0,00                     ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;      16,45              ;      10,12              ;       0,00              ;       0,00              ;       0,00              ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;P                                        ;      82,25  ;       0,00  ;     604,14;       0,00  ;       0,00;FAUT           ;               ;               ;               ;               ;23/03/17      ;29/08/14        ;N                   ;V                                    ;FORFLIVFAUT    ;V                                    ;               ;     0,00        
FAUT2ACC        ;LD1    ;LDR         ;FAUTEUIL UN ACC;FAUTEUIL UN ACCESSOIRE   ;LOCATION HEBDOMADAIRE    ;                         ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                           ;                           ;                           ;                           ;                           ;S452                 ;1298680              ;1255682                         ;                                ;                                ;                                ;      16,45          ;      10,12                     ;       0,00                     ;       0,00                     ;       0,00                     ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;      16,45              ;      10,12              ;       0,00              ;       0,00              ;       0,00              ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;P                                        ;     575,75  ;     145,52  ;       0,00;       0,00  ;       0,00;FARO           ;               ;               ;               ;               ;31/01/16      ;31/01/15        ;N                   ;V                                    ;FORFLIVFAUT    ;V                                    ;               ;     0,00        
FORFLOCPOMPE    ;LPE    ;LPE         ;POMPE PROGRAMMA;FORFAIT DE LOCATION POMPE;PROGRAMMABLE             ;PIED A SERUM COMPRIS.    ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                           ;                           ;                           ;                           ;                           ;J                    ;1183333              ;                                ;                                ;                                ;                                ;       9,15          ;       0,00                     ;       0,00                     ;       0,00                     ;       0,00                     ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       9,15              ;       0,00              ;       0,00              ;       0,00              ;       0,00              ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;P                                        ;    1303,88  ;       0,00  ;       0,00;       0,00  ;       0,00;PIEDSERUM      ;POMPEPROG      ;               ;               ;               ;06/07/15      ;01/07/11        ;N                   ;C                                    ;MADPERFUSION   ;C                                    ;LOCPOMPE       ;     0,00        
FORFLOCPOMPE2   ;LPE    ;LPE         ;POMPE PROGRAMMA;FORFAIT DE LOCATION POMPE;PROGRAMMABLE             ;PIED A SERUM COMPRIS.    ;S4                        ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                           ;                           ;                           ;                           ;                           ;SM52                 ;4371408              ;1146705                         ;                                ;                                ;                                ;      77,88          ;      49,55                     ;       0,00                     ;       0,00                     ;       0,00                     ;      20,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;     403,00              ;      49,55              ;       0,00              ;       0,00              ;       0,00              ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;P                                        ;       0,00  ;       0,00  ;       0,00;       0,00  ;       0,00;PIEDSERUM      ;POMPEPROG      ;               ;               ;               ;29/07/11      ;29/07/11        ;N                   ;C                                    ;MADPERFUSION   ;N                                    ;LOCPOMPE       ;     0,00        
LIMECOMP        ;LD1    ;LDA         ;LIT MEDICALISE ;LIT MEDICALISE COMPLET   ;POTENCES PERF. & RELEV   ;BARRIERES DROITE & GAUCHE;S4                        ;S4                        ;                          ;                          ;                          ;                          ;                          ;                          ;                          ;                           ;                           ;                           ;                           ;                           ;S4                   ;1241763              ;                                ;                                ;                                ;                                ;      13,60          ;       0,00                     ;       0,00                     ;       0,00                     ;       0,00                     ;      11,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;      11,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00      ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;       0,00       ;      13,60              ;       0,00              ;       0,00              ;       0,00              ;       0,00              ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00      ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;   0,00       ;  20,00         ;  20,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00         ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;   0,00          ;P                                        ;    2609,69  ;     888,30  ;       0,00;       0,00  ;       0,00;LIME           ;POTP           ;POTR           ;BARG           ;BARD           ;28/11/16      ;30/11/06        ;N                   ;V                                    ;AVSA/ST/CL1    ;V                                    ;FORF LIV INS   ;     0,00        
